鸦 鴉 [āa] "a crow"    
庆过辣鸡 慶過辣雞 "[hing gwo laat gāai]" "very angry, absolutely furious"    
庆烚烚 慶烚烚 "[hing hahp hahp]" "1. very angry2. to be sexually promiscuous, to be ""horny""."    
歇 歇 [hit] "to rest"    
歇歇脚 歇歇腳 "[hit hit geuk]" "to take a rest"    
可 可 [hó] can    
可卡因 可卡因 "[hó kāa yān]" cocaine    
荷 荷 [hòh] "a lotus"    
荷包 荷包 "[hó bāau]" "1. purse2. female genitalia"    
荷官 荷官 "[hòh gūn]" "the dealer (gambling)"    
荷兰水盖 荷蘭水蓋 "[hòh lāan séui goi]" "(soda bottle lid)a medal, a decoration for service (e.g an MBE or CBE in colonial Hong Kong)."    
何 何 [hòh] how    
何B仔 何B仔 "[hòh bī jái]" "the penis"    
学 學 [hohk] "to learn"    
学神 學神 "[hohk sàhn]" "(learning spirit)a learner-driver"    
学堂 學堂 "[hohk tóng]" "(study hall)the police academy"    
学员 學員 "[hohk yùhn]" "school member"    
行货 行貨 "[hòhng fo/hóng fo]" "(trade goods) 1. ordinary goods, goods which are ""nothing special"". 2. goods which licensed for import, as opposed to ""parallel imports""."    
行行出状元 行行出狀元 "[hòhng hòhng chēut johng yùhn]" "(every trade produces its own elite)one can be outstanding in any trade (sometimes used in defense of some less popular traders) (狀元 johng yùhn refers to the top candidate of the former imperial examinations)."    
巷 巷 [hohng] "an alley"    
巷战 巷戰 "[hohng jin]" "street fighting, street war"    
开 開 [hōi] "to open"    
开苞 開苞 "[hōi bāau]" "(to open flower bud)to have sex with a virgin, to deflower a virgin. "    
开Band 開Band "[hōi bēn]" "1. to start an activity2. to beat up"    
开波 開波 "[hōi bō]" "(to play ball)1. to start an activity, to get down to business (e.g. a fight, sex)2. to fight"    
开餐 開餐 "[hōi chāan]" "1. to have a meal2. to take drugs, to have a fix3. to have sex"    
开仓 開倉 "[hōi chōng]" "(to open store)to open an account with a broker (financial jargon)."    
开大 開大 "[hōi daaih]" "(to open big)to defecate, to ""take a shit""."    
开大片 開大片 "[hōi daaih pín]" "to have a big gang fight, a large gang battle. "    
开档 開檔 "[hōi dong]" "1. to open a stall2. to start a business3. to start an illegal business"    
开刀 開刀 "[hōi dōu]" "1. to have surgery2. to have a C-section (Cesarean section)3. nto cut back funding, to lay off staff, to ""downsize"". "    
开赌 開賭 "[hōi dóu]" "1. to open a gambling establishment, to open a casino"    
开花 開花 "[hōi fāa]" "1. to blossom2. badly, seriously, in the extremely"    
开饭 開飯 "[hōi faahn]" "1. to have a meal2. to earn enough to feed one's family3. to take drugs, to take a fix"    
开火 開火 "[hōi fó]" "(to start fire)to argue, to quarrel, to fight"    
开荒牛 開荒牛 "[hōi fōng ngàuh]" "(an ox opening up wasteland)a pioneer in a particular field of endeavour. "    
开房 開房 "[hōi fóng]" "(to open a room)to go to a hotel for a sexual encounter."    
开封 開封 "[hōi fūng]" "(to open an envelope)to deflower a virgin"    
开鸡窦 開雞竇 "[hōi gāai dau]" "to open a brothel"    
开罐头 開罐頭 "[hōi gun táu]" "1. to open a can2. to have sex with a virgin"    
开口及着脷 開口及著脷 "[hōi háu gahp jeuhk leih]" "(to open one's mouth and bite one's tongue)to be consistently saying the wrong thing, to keep ""puuting one's foot in one's mouth"". "    
开香堂 開香堂 "[hōi hēung tòhng]" "to hold a traid ""court"", to determine the punishment of a wrong-doer in the traid society."    
输到开卷 輸到開卷 "[syū dou hōi hohng]" "to lose heavily, to lose in a big way (at gambling)."    
开斋 開齋 "[hōi jāai]" "1. to taste the first sucess2. to start up a business3. to open one's account4. to have sex"    
开正 開正 "[hōi jeng]" "1. to get the result one desires2. to have things turn out in one's favour3. to draw exactly the card or mahjong tile one needs (gambling)."    
开枝散叶 開枝散葉 "[hōi jī saan yihp]" "1. to produce offspring2. to expand, e.g. a business."    
开战 開戰 "[hōi jin]" "1. to go to war2. to have sex"    
开笼雀 開籠雀 "[hōi lùhng jéuk]" "(bird in an open cage)someone who chatters all the time."    
开门见山讲 開門見山講 "[hōi mùhn gin sāan góng]" "(to speak as one opens the door and sess the mountain)to come straight to the point, to speak directly to the matter at hand. "    
开眼界 開眼界 "[hōi ngáahn gaai]" "to learn how the world works, to get educated."    
开P 開P "[hōi pī]" "to hold a party"    
开片 開片 "[hōi pín]" "(to open blade)1. to have a gang fight2. to fight with knives and choppers"    
开片劈友 開片劈友 "[hōi pín pek yáu]" "(to open blade and chop)gang fighting"    
开盘口 開盤口 "[hōi pùhn háu]" "to offer odds (gambling)"    
开晒巷 開晒巷 "[hōi saaih hohng]" "common knowledge, something that is known to everyone"    
开心果 開心果 "[hōi sām gwó]" "a person who is always happy"    
开水喉 開水喉 "[hōi séui hàuh]" "(to open the tap)to urinate"    
开天索价落地还钱 開天索價落地還錢 "[hōi tīn sok gaa, lohk deih wàahn chíhn]" "(the price demanded is sky high while the offer is down on the ground)a huge gulf between the positions of negotiating parties."    
开拖 開拖 "[hōi tō]" "1. to start a fight2. to have a gang fight"    
开枱 開枱 "[hōi tói]" "to play mahjong"    
开胃 開胃 "[hōi waih]" "to be in the mood to eat, to have an appetite"    
开镬 開鑊 "[hōi wohk]" "to have sex"    
开会 開會 "[hōi wúi]" "1. to have a meeting2. to play mahjong or other gambling game (taxi driver jargon)"    
开夜 開夜 "[hōi yeh chē]" "(to drive the night car)1. to work late2. to study overnight3. to do the nightshift4. working overnight (Taxi driver jargon)"    
海 海 [hói] "the sea"    
海底 海底 "[hói dái]" "1. undersea2. a triad member list"    
海底捞月 海底撈月 "[hói dái làauh yút]" "1. to take the last piece and win at mahjong2. anal message"    
海狗 海狗 "[hói gáu]" "(sea dog)1. seal2. customs"    
海军斗水兵 海軍鬥水兵 "[hói gwān dau séui bīing]" "the navy vs. the sailors→水鬥水 [séui dau séui] water vs watera fight or a competition between two mediocre parties."    
海洛英 海洛英 "[hói lohk yīng]" heroin    
海上鲜 海上鮮 "[hói seuhng sīn]" "1. fresh seafood2. a commodity with variable price, with a price that changes continually."    
海鲜餐 海鮮餐 "[hói sīn chāan]" "1. seafood meal2. a commodity with variable price, with a price that changes continually3. a situation in which a prostitute demands extra payment after having had sex with the client."    
海鲜价 海鮮價 "[hói sīn gaa]" "(seafood price)a commodity with a variable price, with a price that changes continually"    
亥 亥 [hoih] "the twelfh hour"    
亥时出世 亥時出世 "[hoih sìh chēut sai]" "(born at the twelfh hour)1. born at a bad time 2. used to criticise or blame someone for their (often unintentionally) destructive behaviour (亥 hoih, a division in the traditional Chinese clock, puns with 害 hoih which means harm)."    
壳 殼 [hok] "a shell"    
看 看 [hon] "to watch"    
渴 渴 [hot] thirsty    
渴市 渴市 "[hot síh]" "(thirsty market)in great demand"    
好 好 "[multiple readings]" "[hóu]good [hou]to be fond of"    
好抽 好抽 "[hóu chāu]" "good at fighting"    
好丑命生成 好醜命生成 "[hóu chāu mehng sāang séhng]" "(good and bad in life is preordained)one's character or destiney is predetermined."    
好似狗窦 好似狗竇 "[hóu chíh gáu dau]" "(like a dog home)a messy place, an untidy home, a ""pig sty""."    
好彩 好彩 "[hóu chói]" "1. fortunately, luckily2. fortunate, lucky2. Ho Choi triad society "    
好得 好得 "[hóu dāk]" "great, cool; good-looking"    
好地地 好地地 "[hóu deih deih]" "1. with nothing the matter, with nothing wrong2. in good shape, in good order"    
好到极 好到極 "[hóu dou gihk]" "great, fantastic"    
好放 好放 "[hóu fong]" "nvery uninhibited (e.g. when drunk or on drugs)."    
好搞唔搞 好搞唔搞 "[hóu gáau m4 gáau]" "to have bad habits, to be mixed up in bad activities. "    
好狗 好狗 "[hóu gáu]" "(very dog)of low character, unworthy"    
好狗唔拦路 好狗唔攔路 "[hóu gáu m4 làahn louh]" "(good dog does not obstruct the road)an irritated exclamation, ""get out of the way!""."    
好嘅唔灵丑嘅灵 好嘅唔靈醜嘅靈 "[hóu ge m4 lèhng cháu ge lèhng]" "(favourable forecasts don't come true, but the bad ones do)pessimistic predictions are more likely to come ture (sometimes used to request that someone refrain from making gloomy predictions)."    
好激 好激 "[hóu gīk]" "terrific, great, extreme, amazing"    
好境 好境 "[hóu gíng]" "to have good prospects, to be in a good position"    
好焗 好焗 "[hóu guhk]" "feeling extremely hot and suffocated."    
好鬼死 好鬼死 "[hóu gwái séi]" "(very ghost die)very, extremely"    
好鬼衰 好鬼衰 "[hóu gwái sēui]" "to be nasty, extremely nasty"    
好贵 好貴 "[hóu gwai]" "very expensive"    
好过冇 好過冇 "[hóu gwo móuh]" "better than nothing"    
好閒 好閒 "[hóu hàahn]" "used of something not worth worrying about, ""no big deal""."    
好行夹唔送 好行夾唔送 "[hóu hàhng gaap m4 sung]" "one is pleased to see someone leaving, ""good bye and good riddance"". "    
好戏在后头 好戲在後頭 "[hóu hei joih hauh tàuh]" "(the good show is at the end)the best part is yet to come."    
好学唔学 好學唔學 "[hóu hohk m4 hohk]" "to learn only bad habits, to just learn bad things."    
好好地 好好地 "[hóu hóu déi]" "1. with nothing the matter2. in good shape, in good order"    
好仔唔当差 好仔唔當差 "[hóu jái m4 dōng chāai]" "an anti-police slogan, ""a good kid doesn't join the police""."    
好做唔做 好做唔做 "[hóu jouh m4 jouh]" "(what should be done is not done)a critism of someone for not doing what needs to be done and for doing what should not be done. "    
好佬唔怕烂佬烂佬怕泼妇 好佬唔怕爛佬爛佬怕潑婦 "[hóu lóu paa laahn lóu, laahn lóu paa put fúh]" "a good man fears a bad man and a bad man fears a ferocious woman. "    
好路数 好路數 "[hóu louh sou]" profitable    
好眉好貎生沙虱 好眉好貎生沙虱 "[hóu mèih hóu maauh sāang sāa sāt]" "(someone with nice eyebrows and a nice face infested with sand flea)someone who is good-looking but has a bad character."    
好使好用 好使好用 "[hóu sái hóu yuhng]" "good to use, useful (of people or of objects)."    
好手气 好手氣 "[hóu sáu hei]" "lucky (at gambling)"    
好死 好死 "[hóu séi]" "kind, loyal, upstanding, reliable in a crisis."    
好声行 好聲行 "[hóu sēng hàahng]" "an expression telling someone to take care, to be careful (said to someone who is leaving)."    
好衰唔衰 好衰唔衰 "[hóu sēui m4 sēui]" "an exclamation implying that someone is really bad, that the problem is very serious, the worse thing that could have happened. "    
好削 好削 "[hóu seuk]" "a bad performance, inferior display."    
好相与 好相與 "[hóu sēung yúh]" "1. kind, personable, approachable2. a good pair of breasts (the pronunciation of the second and third characters puns with ""a pair of breasts"" 雙乳. "    
好睇唔好食 好睇唔好食 "[hóu tái m4 hóu sihk]" "(good to look at and no good to eat)good looking but of no practical use. "    
好天收埋落雨柴 好天收埋落雨柴 "[hóu tīn sāu màaih lohk yùh chàaih]" "(in good weather gather firewood for when it rains)one should make preparation in good times for times of shortage."    
好话唔好听 好話唔好聽 "[hóu waah m4 hóu tēng]" "(the right words are not pleasant to hear)a remark introducing plain speaking which may not be welcomed by the hearer, ""to be frank"", ""to be blunt"". "    
好人事 好人事 "[hóu yàhn sí]" "pleasant, helpful"    
好Yeah 好Yeah "[hóu yē]" "cool, great"    
好嘢 好嘢 "[hóu yéh]" "a1.  cry of delight or excitement, ""great!"", ""hurray!"".2. an expression of admiration, ""good work!""."    
你好嘢 你好嘢 "[néih hóu yéh]" "(you're great)a sarcastic remark used to expression aggression which often involves a threat of reprisal or revenge against someone. "    
好食懒飞 好食懶飛 "[hou sihk láahn fēi]" "(likely to eat lazy to fly)lazy, idle"    
好色 好色 "[hou sik]" "lecherous, sex-obsessed."    
豪 豪 [hòuh] "1. brave2. to be generous3. to be proud, to be successful4. generous-minded"    
豪爽 豪爽 "[hòuh sóng]" "to be generous"    
毫 毫 [hòuh] small    
毫子 毫子 "[hòuh jí]" "ten cents"    
红 紅 [hùhng] "1. red2. blood3. very popular, e.g. a film star, a pop singer at the peak of their career, to be ""hot"". "    
红白 紅白 "[hùhng baahk]" "(red and white)red bean and sweet tofu desert."    
红簿仔 紅簿仔 "[hùhng bóu jái]" "bank passbook, savings passbook"    
红钱 紅錢 "[hùhng chín]" "annual bonus"    
红灯区 紅燈區 "[hùhng dāng kēui]" "red light district, area of a city associated with prostitution. "    
红底 紅底 "[hùhng dái]" "one hundred dollar note."    
红番 紅番 "[hùhng fāan]" "(red foreign)an American Indian, a ""Red Indian""."    
红鸡 紅雞 "[hùhng gāi]" "(red chicken)a Hong Kong Island and Kowloon taxi (which is red, as opposed to New Territories taxis which are green) (taxi driver jargon)."    
红棍 紅棍 "[hùhng gwan]" "(red pole)Red Pole, an office-bearer in a triad society in charge or organising physical violence, an ""enforcer"". The code number associated with this rank is 426."    
红魔鬼 紅魔鬼 "[hùhng mō gwái]" "(red devils)Manchester United football team"    
红毛鬼 紅毛鬼 "[hùhng mòuh gwái]" "(red hair ghost)the British, westerners, Europeans."    
红毛泥 紅毛泥 "[hùhng mòuh nàih]" "(foreign mud)concrete"    
红牌 紅牌 "[hùhng páai]" "1. red card2. top class, very popular, highly rated"    
红牌阿姑 紅牌阿姑 "[hùhng páai aa gū]" "a famouse prostitute, a celebrated call-girl"    
红衫鱼 紅衫魚 "[hùhng sāam yú]" "(red coat fish)a Hong Kong one-hundred-dollar note"    
红色炸弹 紅色炸彈 "[hùhng sīk jaa dáan]" "a wedding invitation (a reference to the red envelope containing the wedding invitation and to the donation that must be made to the couple at the wedding banquet)."    
红须绿眼 紅鬚綠眼 "[hùhng sōu luhk ngáahn]" "(red hair green eyes)a Westerner, a European foreigner"    
红堂 紅堂 "[hùhng tòhng tóng]" "(red hall)a triad judicial hearing"    
红油 紅油 "[hùhng yáu]" "1. red paint2. petrol or oil sold on the black market (to avoid tax)."    
熊 熊 [hùhnh] "a bear"    
熊猫 熊貓 "[hùhnh māau]" "1. panda2. a person with dark rings around the eyes (because of lack of sleep)."    
熊市 熊市 "[hùhnh síh]" "(bear market)a falling stock-market, a financial situation in which confidence in stock prices etc. is low, a ""bear market""."    
洪 洪 [hùhng] flood    
洪发山 洪發山 "[hùhng faat sāan]" "an alternative name for the 14K triad society (triad jargon)."    
洪门 洪門 "[hùhng mùhn]" "the Hung League, a traditional term for the triad society."    
洪门子弟 洪門子弟 "[hùhng mùhn jí daih]" "members of the Hung League, triad brothers"    
洪门五祖 洪門五祖 "[hùhng mùhn ńgh jóu]" "the five founding ancestors of the triad society, the legendary founders of the original five triad lodges."    
凶 兇 [hūng] "1. fearsome2. to threaten someone verbally, to intimidate"    
凶九 兇九 "[hūng gáu/gāu]" "to frighten, to intimidate (with 九 gáu standing for the obscene particle, 鳩 gāu, ""prick""."    
凶䄂恶煞 兇䄂惡煞 "[hūng sàhn ngok saat]" "to have an angry face, to look furious; wild, vicious"    
空 空 [hūng] empty    
空档/挡 空檔/擋 "[hūng dong]" "empty space, free time, e.g. in a timeable"    
空/胸袭 空/胸襲 "[hūng jaahp]" "(air attack)to decently assault a woman by grabbing her breast (空 hūng ""air"" puns with 胸 hūng ""breast""."    
空框框 空框框 "[hūng kwāang kwāang]" "empty, deserted, vacant (e.g.building)."    
空liuliu/了了/寥寥 空liuliu/了了/寥寥 "[hūng līu līu]" "very empty, completely empty"    
空心老倌/棺/官 空心老倌/棺/官 "[hūng sām lóuh gūn]" "a person of little substance, a person with pretensions but with nothing substantial to back them up. "    
空头支票 空頭支票 "[hūng tàuh jī pui]" "1. a cheque which cannot be cashed, a cheque that bounces2. a promise that is not likely to be fulfilled, an empty promise."    
孔 孔 [húng] "a hole"    
孔明 孔明 "[húng mìhng]" "a lamp (the name of a prime minster during the Three Kingdoms period, 諸葛亮, famous for his wisdom)."    
恐 恐 [húng] fear    
恐龙 恐龍 "[húng lùhng]" "1. dinosaur2. stupid, clumsy, askward"    
圈 圈 [hyūn] "1. circle2. a city"    
圈中人 圈中人 "[hyūn jūng yàhn]" "(circle centre people)an insider, someone in a particular business or trade (e.g. the entertainment business)"    
圈外人 圈外人 "[hyūn ngoih yàhn]" "an outsider, someone is not part of a particular trade or business (e.g the entertainment world)."    
E仔 E仔 "[ī jái]" "MDMA, Ecstasy, a drug associated with ""rave"" culture."    
In In [īn] "1. fashionable, up-to-date2. an interview"    
Inch Inch "[īn chùh]" "(<inch)vain, arrogant, ""stuck-up"" (a translation of 寸 chyun, ""arrogant"", which also means ""inch"")."    
In咗 In咗 "[īn jó]" "(<interview)to have been interviewed."    
揸 揸 [jāa] "to hold"    
揸波 揸波 "[jāa bō]" "to squeeze a woman's breast."    
揸大旗 揸大旗 "[jāa daaih kèih]" "(to hold the big flag)to be in charge, to be the leader."    
揸兜 揸兜 "[jāa dāu]" "(to hold dish)to be unemployed"    
揸Fit/弗 揸Fit/弗 "[jāa fīt]" "1. to be in charge, to be in control; to have the final say2. to be a triad boss"    
揸Fit/弗人 揸Fit/弗人 "[jāa fīt yàhn]" "1. to be the boss, to be in charge2. the triad boss of a district"    
揸颈就命 揸頸就命 "[jāa géng jauh mehng]" "(when one is being throttled one has to sumbit to fate)to have no choice but to comply."    
揸个扒 揸個扒 "[jāa gō pàah/báa]" "to shake hands"    
揸正嚟做 揸正嚟做 "[jāa jeng làih jouh]" "to follow the rules strictly, to ""go by the book"", to leave no room for discretion."    
揸住鸡毛当令箭 揸住雞毛當令箭 "[jāa jyuh gāi mòuh dong lihng jin]" "to be domineering without any real or sufficient claim to authority. "    
揸旗 揸旗 "[jāa kèih]" "(to hold the flag)to be in charge"    
揸lift人 揸lift人 "[jāa līp yàh]" "(life operator)a way of making fun of a person as a ""fake boss"". "    
揸拿 揸拿 "[jāa nàah]" "(to hold and grasp)1. assurance2. certainly3. confidence"    
揸手 揸手 "[jāa sáu]" "1. to shake hands2. a guarantee (for a deal)3. to have something in hand as an assurance."    
揸水 揸水 "[jāa séui]" "(to squeeze water)to urinate"    
揸水煲 揸水煲 "[jāa séui bōu]" "(to hold water pot)a restaurant worker, a waiter"    
揸数 揸數 "[jāa sou]" "1. treasurer, book-keeper"    
渣 渣 [jāa] dregs    
渣都冇得剩 渣都冇得剩 "[jāa dōu móuk dāk jihng]" "(nothing remains)all lost, ""wiped out""."    
渣斗 渣斗 "[jáa dáu]" "trashy, weak, of low quality (of a performance)."    
炸 炸 [jaa] "to explode"    
炸弹 炸彈 "[jaa dáan]" bomb    
诈 詐 [jaa] "to pretend"    
诈谛 詐諦 "[jaa dai]" "to pretend"    
诈嗲 詐嗲 "[jaa dé]" "to sulk, to behave like a spoilt child"    
诈假意 詐假意 "[jaa gāa yī]" "to pretend, to fake an action"    
诈娇 詐嬌 "[jaa gīu]" "to sulk, to behave like a spoilt child"    
诈诈谛谛 詐詐諦諦 "[jaa jaa dai dai]" "to pretend"    
诈傻扮懵 詐傻扮懵 "[jaa sòh baahn múng]" "to play the fool, to act stupid"    
诈糊 詐糊 "[jaa wú]" "1. to call out a winning hand in error (in mahjong)2. to have a goal disallowed (soccer jargon)3. to assume that one has been offered a prime role but be disappointed (movie star)."    
诈型 詐型 "[jaa yìhng]" "1. to be upset, to be angry, to complain, to moan2. to bluff, to act the role of, to pretend, to play the fool"    
喳喳淋 喳喳淋 "[jàah jàah làhm]" "quickly, fast; ""hurry up!"""    
择 擇 [jaahk] "to choose"    
择使 擇使 "[jaahk sái]" "hard to achieve; difficult to carry out, difficult to complete successfully"    
站 站 [jaahm] "a station"    
站头 站頭 "[jaahm tàuh]" "taxi stand (taxi driver jargon)"    
赚 賺 [jaahn] "to earn"    
赚钱买花戴 賺錢買花戴 "[jaahn chín máaih fā daai]" "(to earn money for buying flowers to wear)to not need one's salary for living expenses, to be able to spend one's salary on luxuries (usually of women)."    
馔 饌 [jaahng/jaahn] "1. to eat greedily, to ""stuff oneself"" with food2. to prepare food"    
馔饱 饌飽 "[jaahng báau]" "to fill up, to fill"    
馔死你 饌死你 "[jaahng séi néih]" "(eat to death you)an admonition to stop eating, ""stop stuffing yourself!""."    
闸 閘 [jaahp] "a gate"    
闸住 閘住 "[jaahp jyuh]" "(close gate)used to tell someone to stop talking about something undesirable or unlucky. "    
杂 雜 "[multiple readings]" "[jaahp] miscellaneous [yaap]1. no good, bad quality, low quality2. ugly, bad-looking"    
杂崩能 雜崩能 "[jaahp bāng lāng]" "odds and ends" " bits and pieces. "   
杂差 雜差 "[jaahp chāai]" "a police detective" " the police"   
杂差房 雜差房 "[jaahp chāai fòhng]" "detective's office, C.I.D office."    
杂种仔 雜種仔 "[jaahp júng jái]" "(mixed kind boy)an insult for someone of mixed racial background or implying that someone is of dubious parentage, a ""bastard"", a ""mongrel""."    
杂唛 雜嘜 "[jaahp māk]" "fake brand, fake brand goods"    
杂牌军 雜牌軍 "[jaahp pàaih gwān]" "(assorted military branches)a groupo made up of people from diverse backgrounds, a ""mixed bunch"", a ragtag group, a scratch team (usually weak)."    
斋 齋 [jāai] "1. to go without meat2. to be celibate, without a sex life"    
斋噏 齋噏 "[jāai āp]" "to talk about nothing in particular, to ""bullshit""."    
斋校 齋校 "[jāai haauh]" "a single-sex school"    
债 債 [jaai] "a debt"    
债仔 債仔 "[jaai jái]" "a debtor, someone who owes money"    
责袋 責袋 "[jaak dói]" "used to refer to spending money, money give to ""tide someone over"", to ""keep someone going"". "    
斩 斬 [jáam] "1. to chop2. (to chop people) to fight with a chopper, to attack with a chopper, to injure with a chopper"    
斩仓 斬倉 "[jáam chōng]" "to cut one's losses, to sell one's holdings"    
斩到变屎饼为止 斬到變屎餅為止 "[jáam dou bin sí béng wàih jí]" "to chop someone to bits, to chop someone up"    
斩到一颈血 斬到一頸血 "[jáam dou yāt géng hyut]" "1. to chop someone severely2. to take a lot of money from someone, to cheat someone of a lot of money"    
斩鸡头烧黄纸 斬雞頭燒黄紙 "[jáam gāi tàuh, sīu wòhng jí]" "(to cut off the chicken's head and burn the yellow paper)to swear an oath of brotherhood, to become sworn brothers. "    
斩脚趾避沙虫 斬腳趾避沙蟲 "[jáam geuk jí beih sāa chùhng]" "(to cut off one's toes to avoid the sand bugs)a costly solution that does not address the real problem itself. "    
斩瓜 斬瓜 "[jáam gwāa]" "to chop to death"    
眨吓眼 眨吓眼 "[jáam háah ngáahn]" "(to blink)as quick as a flash, in the blink of an eye"    
斩开九碌 斬開九碌 "[jáam hōi gáu lūk]" "to chop into pieces, to chop up"    
斩乱歌柄 斬亂歌柄 "[jáam yuhn gō beng]" "to interrupt when someone is talking"    
斩马刀 斬馬刀 "[jáam máah dōu]" "(to chop knife)a knife which is over three feet long, a traditional Chinese weapon sometimes used by triads. "    
斩手指 斬手指 "[jáam sáu jí]" "1. to chop off one's fingers2. to give up gambling"    
斩获 斬獲 "[jáam wohk]" "to obtain a profit"    
盏搞/搅 盞搞/攪 "[jáan gáau]" "1. to do something that turns out to be pointless2. a waste of time and effort"    
盏鬼 盞鬼 "[jáan gwái]" "interesting, cute, great"    
争 爭 [jāang] "to fight for"    
争崩头 爭崩頭 "[jāang bāng tàuh]" "(to compete broken head)fierce rivalry, intense competition"    
争地盘 爭地盤 "[jāang deih pùhn]" "to fight for territory "    
争返啖气 爭返啖氣 "[jāang fāan daahm hei]" "to resist, to stand up for oneself"    
争气 爭氣 "[jāang hei]" "(to compete for breath)to win respect through success, to leave no more room to failure"    
争一口气 爭一口氣 "[jāang yāt háu hei]" "to make a good showing, to give a good account of oneself, to bring credit or honour one's organisation."    
扎/扎 紮/扎 [jaat] "1. to fasten2. to have a vasectomy3. to be promoted"    
扎棍 紮棍 "[jaat gwan]" "to be punished" " to be beaten up as a punishment for breaking the rules of a triad society."   
扎扎跳 紮紮跳 "[jaat jaat tiu]" "to be extremely angery, to be livid with rage"    
扎职 紮職 "[jaat jīk]" "(to bind rank)to be promoted" " to be promoted within a triad society"   
扎马 紮馬 "[jaat máah]" "(to bind horse)1. to take up a stance, to prepare for a fight2. to resist, to refuse3. a red-striped minibus or a taxi lingering in front of the cross-harbour tunnel to fill up before crossing."    
扎炮 紮炮 "[jaat paau]" "(to tie a cannon)to cut down on one's spending, to tighten one's belt, to have no money for food"    
扎晒马 紮晒馬 "[jaat saai máah]" "to refuse" " to prepare to fight"   
找 找 [jáau] "to look for"    
找晦气 找晦氣 "[jáau fui hei]" "(to look for gloomy air)to seek a quarrel or fight after one is provoked, to respond with hostility to a provocation. "    
骤忌 驟忌 "[jaauh geih]" taboo.    
阵 陣 [jahn] "a column"    
阵脚未打好 陣腳未打好 "[jahn guek meih dáa hóu]" "to be caught off-guard, to be caught unprepared"    
窒 窒 [jaht] "1. to obstruct2. to make sardonic, ironic or sarcastic comments"    
窒口窒舌 窒口窒舌 "[jaht háu jaht sit]" "to stammer nervously"    
窒住晒 窒住晒 "[jaht jyuh saai]" "to interrupt, to break in to what someone is saying, to keep interrupting"    
窒住条气 窒住條氣 "[jaht jyuh tìuh hei]" "to interrupt someone, to break someone's concentraton, to put someone off their game"    
窒头窒势 窒頭窒勢 "[jaht tàuh jaht sai]" "1. to interrupt with sardonic, ironic, sarcastic, discouraging comments2. to show disrespect"    
剂 劑 [jāi] "1. a dose of medicines2. a heavy blow3. (dose) once, one time (e.g. beating, haveing sex)."    
仔 仔 [jái] "1. a son2. a suffix used to describe something small3. a boy, a kid4. a boyfriend"    
仔大仔世界 仔大仔世界 "[jái daaih jái sai gaai]" "children who are grown-up should make their own decisions (e.g. parent talking to child)."    
制 制 [jai] "1. to limit2. to agree (to a deal)"    
制得过 制得過 "[jai dāk gwo]" "worth it"    
制唔过 制唔過 "[jai m4 gwo]" "not worth it"    
制水 制水 "[jai séui]" "to have one's source of funding cut off (e.g. pocket money)."    
祭 祭 [jai] "to worship"    
祭旗 祭旗 "[jai kèih]" "to take the blame, to take responsiblity for someone's mistake, to be punished or killed for a mistake committed by someone else. "    
滞 滯 [jaih] "1. blocked2. full, stuffed (as a result of over-eating)."    
侧 側 [jāk] side    
侧侧膊 側側膊 "[jāk jāk bok]" "to get round the rules or avoid responsiblity without it being obvious to the observer."    
侧侧膊唔多觉 側側膊唔多覺 "[jāk jāk bok m4 dō gok]" "(side side shoulder not much feeling)to get round the rules or avoid responsibility without it being obvious to the observer, without anyone noticing. "    
侧身 側身 "[jāk sān]" "to turn to the side"    
斟 斟 [jām] "1. to pour2. to discuss"    
斟茶认错 斟茶認錯 "[jām chàah yihng cho]" "to offer tea as an admission of wrongdoing or as an apology - if the tea is accpeted that is a sign that the disagreement is settled. "    
斟盘 斟盤 "[jām pùhn]" "negotiation, settlement talks"    
针 針 [jām] "1. a needle2. a police informer"    
针唔拮到肉唔知痛 針唔拮到肉唔知痛 "[jām m4 gāt dou yuhk m4 jī tung]" "(unless someone has a needle in their flesh they feel no pain)without suffering oneself, one cannot recognise or understand other people's pain"    
针冇两头利 針冇兩頭利 "[jām móuh léuhng tàuh leih]" "(no needle is sharp at both ends)nothing is ever perfect, ""one cannot have it both ways""."    
枕 枕 [jám] "a pillow"    
枕住 枕住 "[jám jyuh]" "to keep, to continue an action"    
浸 浸 [jam] "1. to soak2. to spend time in a place or an occupation"    
浸咸水 浸鹹水 "[jam hàahm séui]" "(to dive sea water)1. to go overseas to study2. to spend time overseas"    
珍 珍 [jān] "a treasure"    
珍珠都无咁真 珍珠都無咁真 "[jān jyū dōu móuh gam jān]" "(pearl is not so real)genuine, real, one hundred percent pure"    
真 真 [jān] real    
真朵 真朵 "[jān dó]" "the name of a triad protector or triad society successfully invoked for protection, i.e. the opposite of 流朵 làuh dó."    
真金白银 真金白銀 "[jān gām baahk ngàhn]" "(real gold and platinum)real money, genuine cash, money in hand"    
真空上阵 真空上陣 "[jān hūng séuhng jahn]" "to wear revealing clothes (e.g. a woman not wearing a bra)."    
真人表演 真人表演 "[jān yàhn bíu yín]" "a live show, particulary a live sex show"    
镇 鎮 [jan] "to suppress"    
震 震 [jan] "to shake"    
震仓 震倉 "[jan chōng]" "(shaking warehouse)a large rise in the stock market or in the price of a share following a slight fall (financial jargon)."    
震蛋 震蛋 "[jan dáan]" "(vibrating egg)a vibrator"    
